Full Name,Park Code,State_code
Antietam National Battlefield,anti,MD
Antietam National Battlefield,anti,MD
Assateague Island National Seashore,asis,MD
Assateague Island National Seashore,asis,MD
Baltimore National Heritage Area,balt,MD
Baltimore National Heritage Area,balt,MD
Baltimore-Washington Parkway,bawa,MD
Baltimore-Washington Parkway,bawa,MD
Catoctin Mountain Park,cato,MD
Catoctin Mountain Park,cato,MD
Chesapeake & Ohio Canal National Historical Park,choh,MD
Chesapeake & Ohio Canal National Historical Park,choh,MD
Chesapeake Bay,cbpo,MD
Chesapeake Bay,cbpo,MD
Clara Barton National Historic Site,clba,MD
Fort Foote Park,fofo,MD
Fort Foote Park,fofo,MD
Fort McHenry National Monument and Historic Shrine,fomc,MD
Fort McHenry National Monument and Historic Shrine,fomc,MD
Fort Washington Park,fowa,MD
Fort Washington Park,fowa,MD
Glen Echo Park,glec,MD
Glen Echo Park,glec,MD
Greenbelt Park,gree,MD
Greenbelt Park,gree,MD
Hampton National Historic Site,hamp,MD
Hampton National Historic Site,hamp,MD
Harmony Hall,haha,MD
Harmony Hall,haha,MD
Harriet Tubman Underground Railroad National Historical Park,hatu,MD
Harriet Tubman Underground Railroad National Historical Park,hatu,MD
Monocacy National Battlefield,mono,MD
Monocacy National Battlefield,mono,MD
Oxon Cove  Park & Oxon Hill Farm,oxhi,MD
Oxon Cove  Park & Oxon Hill Farm,oxhi,MD
Piscataway Park,pisc,MD
Piscataway Park,pisc,MD
Star-Spangled Banner National Historic Trail,stsp,MD
Star-Spangled Banner National Historic Trail,stsp,MD
Thomas Stone National Historic Site,thst,MD
Thomas Stone National Historic Site,thst,MD
Washington-Rochambeau Revolutionary Route National Historic Trail,waro,PA
Washington-Rochambeau Revolutionary Route National Historic Trail,waro,PA
