UnitCode,Month,Visitors,StateCode,SpansStates,Park,Lat,Lon,Name,Population,Latitude,Longitude
MAPR,3,6889,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,3,6889,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,3,6889,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,3,6889,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,3,6889,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,3,6889,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,3,6889,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,4,9358,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,4,9358,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,4,9358,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,4,9358,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,4,9358,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,4,9358,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,4,9358,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,4,9358,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,4,9358,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,5,10875,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
