UnitCode,Month,Visitors
GRCA,5,643821
GRCA,6,756860
GRCA,7,700896
GRCA,8,578852
GRCA,9,551558
GRCA,10,347847
GRCA,11,324380
HUTR,0,78
HUTR,1,653
HUTR,2,2675
HUTR,3,4664
HUTR,4,6502
HUTR,5,6590
HUTR,6,7388
HUTR,7,2800
HUTR,8,5572
HUTR,9,5660
HUTR,10,740
HUTR,11,6963
LAKE,0,463711
LAKE,1,532361
LAKE,2,649071
LAKE,3,700689
LAKE,4,721614
LAKE,5,776181
LAKE,6,793801
LAKE,7,649731
LAKE,8,631999
LAKE,9,621325
LAKE,10,539690
LAKE,11,418876
MOCA,0,4384
MOCA,1,25480
MOCA,2,54163
MOCA,3,46903
MOCA,4,39896
MOCA,5,30264
MOCA,6,27784
MOCA,7,25385
MOCA,8,28743
MOCA,9,38844
MOCA,10,30443
MOCA,11,23965
NAVA,0,113
NAVA,1,1397
NAVA,2,3283
NAVA,3,6052
NAVA,4,5896
NAVA,5,6230
NAVA,6,6121
NAVA,7,5939
NAVA,8,6200
NAVA,9,5215
NAVA,10,2281
NAVA,11,1256
ORPI,0,32892
ORPI,1,32886
ORPI,2,41890
ORPI,3,17564
ORPI,4,17723
ORPI,5,16421
ORPI,6,15255
ORPI,7,14918
ORPI,8,14109
ORPI,9,19594
ORPI,10,19161
ORPI,11,20773
PEFO,0,15341
PEFO,1,21342
PEFO,2,55187
PEFO,3,56567
PEFO,4,72802
PEFO,5,95451
PEFO,6,90546
PEFO,7,62276
PEFO,8,52525
PEFO,9,57019
PEFO,10,32092
PEFO,11,32440
PISP,0,114
PISP,1,706
PISP,2,2628
PISP,3,3371
PISP,4,3463
PISP,5,3605
PISP,6,3157
PISP,7,3163
PISP,8,3173
PISP,9,2901
PISP,10,851
PISP,11,350
SAGU,0,48968
SAGU,1,149371
SAGU,2,186275
SAGU,3,117802
SAGU,4,75838
SAGU,5,49481
SAGU,6,48553
SAGU,7,51309
SAGU,8,44812
SAGU,9,64529
SAGU,10,87053
SAGU,11,96235
SUCR,0,564
SUCR,1,2469
SUCR,2,11628
SUCR,3,13274
SUCR,4,12087
SUCR,5,14393
SUCR,6,14493
SUCR,7,10855
SUCR,8,11881
SUCR,9,10378
SUCR,10,2852
SUCR,11,3505
TONT,0,467
